Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
Easthaven,EH,07/05/21,R,K417 wild-type,,50,1.56,2.68,0.8,5193.99,,18277,11,0705.EH-2,1467.28,Positive,Composite,,,,D4,8931.34,2681.6
Easthaven,EH,07/05/21,R,417N,,50,0,0.42,0,0,,18277,0,0705.EH-2,1770.1,Negative,Composite,,,,D4,1415.2,0
F.W.S.D. # 23,23,07/05/21,R,484K,,50,0.15,0.73,0.01,509.7,,16960,1,0705.23-1,1409.83,Negative,Composite,,,,A2,2434.6,21.41
F.W.S.D. # 23,23,07/05/21,R,E484 wild-type,,50,0.46,1.21,0.11,1526.85,,16960,3,0705.23-1,1849.91,Negative,Composite,,,,A2,4047.25,362.35
F.W.S.D. # 23,23,07/05/21,R,417T,,50,0.31,0.98,0.05,1019.37,,16960,2,0705.23-1,1485.82,Negative,Composite,,,,A2,3265.47,154.43
F.W.S.D. # 23,23,07/05/21,R,K417 wild-type,,50,3.97,5.71,2.63,13241.66,,16960,26,0705.23-1,1467.28,Positive,Composite,,,,A2,19031.09,8767.27
F.W.S.D. # 23,23,07/05/21,R,417N,,50,0,0.46,0,0,,16960,0,0705.23-1,1770.1,Negative,Composite,,,,A2,1527.24,0
F.W.S.D. # 23,23,07/05/21,R,484K,,50,0,0.44,0,0,,17756,0,0705.23-2,1409.83,Negative,Composite,,,,B2,1458.72,0
F.W.S.D. # 23,23,07/05/21,R,E484 wild-type,,50,0.15,0.7,0.01,485.96,,17756,1,0705.23-2,1849.91,Negative,Composite,,,,B2,2321.18,20.41
F.W.S.D. # 23,23,07/05/21,R,417T,,50,0.15,0.7,0.01,486.84,,17756,1,0705.23-2,1485.82,Negative,Composite,,,,B2,2325.37,20.45
